lr,bs,GRT,GRS,health
1e-05,4,0.6999008655548096,2.8638421539717696,0.7871226785714286
1e-05,8,0.5903143286705017,1.6360970534027572,0.717216607142857
1e-05,16,0.5015113353729248,0.9899864311343212,0.6228885714285715
1e-05,32,0.4228648543357849,0.17786627270842592,0.5328664285714287
1e-05,64,0.49847930669784546,-0.6140811590692263,0.4438430357142857
0.0001,4,0.6765318512916565,2.8638421539717696,0.8872655357142858
0.0001,8,0.5723270773887634,1.6360970534027572,0.8849066071428572
0.0001,16,0.71449875831604,0.9899864311343212,0.8767083928571427
0.0001,32,1.0147672891616821,0.17786627270842592,0.8574758928571428
0.0001,64,1.0824037790298462,-0.6140811590692263,0.812775
0.001,4,1.1264216899871826,2.8638421539717696,0.7873653571428573
0.001,8,1.2367098331451416,1.6360970534027572,0.8558074999999999
0.001,16,1.2566293478012085,0.9899864311343212,0.8829246428571428
0.001,32,1.2421553134918213,0.17786627270842592,0.8936733928571431
0.001,64,1.2681148052215576,-0.6140811590692263,0.890197857142857
0.01,4,1.2264662981033325,2.8638421539717696,0.0059553571428571424
0.01,8,1.241548776626587,1.6360970534027572,0.011280357142857142
0.01,16,1.1496766805648804,0.9899864311343212,0.015591785714285716
0.01,32,1.6430668830871582,0.17786627270842592,0.018598214285714287
0.01,64,2.243746519088745,-0.6140811590692263,0.021704999999999995
