lr,bs,GRT,GRS,health
0.0001,128,0.9694218635559082,2.9034593382465577,0.67944
0.0001,256,0.7994312047958374,1.936516791677361,0.5972533333333334
0.0001,512,0.7112391591072083,-0.615790074301339,0.5021458333333333
0.0001,1024,0.5732181668281555,-0.0156464470047776,0.41552916666666667
0.0001,2048,0.4523330926895141,-1.149057974323627,0.3373375
0.001,128,1.1553133726119995,2.6269682424532736,0.8376983333333335
0.001,256,1.0199803113937378,1.518582759721662,0.8091816666666667
0.001,512,0.9001095294952393,-0.1360530269675014,0.7661333333333333
0.001,1024,0.7983610033988953,-0.7470530860688798,0.6978991666666665
0.001,2048,0.6535041928291321,-2.1600473213763065,0.6116925000000001
0.01,128,1.393296718597412,2.995159440139849,0.8713683333333333
0.01,256,1.382664918899536,2.2338399755481606,0.8664233333333332
0.01,512,1.341860294342041,-0.0452317022472761,0.8530333333333331
0.01,1024,1.3144848346710205,-0.4319093836209046,0.8263074999999998
0.01,2048,1.234128475189209,-0.7494227579545101,0.7973558333333333
0.1,128,1.68068,3.06449,0.8212808333333335
0.1,256,1.7697645425796509,1.5187522481454416,0.8338941666666669
0.1,512,1.8476009368896484,0.4613539910873703,0.8181708333333334
0.1,1024,1.6332459449768066,-1.305177864765199,0.8201533333333333
0.1,2048,1.708418846130371,-1.6137536410523368,0.7867216666666669
1.0,128,2.883791446685791,3.46067409183856,0.5688916666666667
1.0,256,2.7107186317443848,1.7784486560676642,0.618045
1.0,512,2.831836223602295,-0.2756028387681444,0.6899191666666664
1.0,1024,2.887054443359375,-0.3690761218577641,0.6697250000000001
1.0,2048,2.806333303451538,-0.9661205220802724,0.6658533333333334
